OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Euthanasia,Suffering,Dog,Intact Male,2190,Dachshund,Black,5110,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,180,Chihuahua Shorthair,Tricolor,6570,5,Small
Transfer,Partner,Cat,Intact Male,180,Domestic Shorthair,Blue,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Pit Bull,Red/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,1460,Chihuahua Shorthair,Brown/White,6570,5,Small
Transfer,Partner,Dog,Intact Male,60,Plott Hound,Tan,5110,3,Medium
Return_to_owner,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,1095,Staffordshire,Brown Brindle,5110,3,Medium
Transfer,SCRP,Cat,Intact Female,120,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Female,365,Yorkshire Terrier,Black/Red,5840,5,Small
Adoption,Unknown,Dog,Spayed Female,730,Pit Bull,Brown/White,5475,3,Large
Transfer,SCRP,Cat,Spayed Female,270,Domestic Shorthair,Tortie,6205,5,Medium
Euthanasia,Suffering,Cat,Intact Female,30,Domestic Longhair,Blue Cream,6205,5,Medium
Transfer,Partner,Dog,Intact Female,30,Australian Cattle Dog,Black/White,5475,3,Medium
Transfer,Partner,Dog,Intact Male,1095,Weimaraner,Blue,4380,5,Medium to Large
Transfer,Partner,Dog,Spayed Female,730,Chihuahua Shorthair,Black,6570,5,Small
Transfer,Partner,Cat,Unknown,7,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,90,Cardigan Welsh Corgi,White/Black,5110,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Pit Bull,Black/White,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,2555,Podengo Pequeno,Black/White,5110,3,Small
Return_to_owner,Unknown,Dog,Neutered Male,3285,Leonberger,Sable,3650,3,Giant
Return_to_owner,Unknown,Dog,Neutered Male,3285,Pit Bull,Red/White,5475,3,Large
Transfer,Partner,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,60,Domestic Medium Hair,Calico,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,2190,German Shepherd,Black/Tan,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Intact Female,1095,Great Pyrenees,White/Brown,4380,4,Giant
Return_to_owner,Unknown,Dog,Neutered Male,2190,German Shepherd,Black/Tan,4380,5,Medium to Large
Transfer,Partner,Dog,Unknown,7,Chihuahua Shorthair,Brown/Black,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,365,Yorkshire Terrier,Black/Tan,5840,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,240,Australian Kelpie,Red/Black,5110,5,Large
Return_to_owner,Unknown,Dog,Spayed Female,365,Labrador Retriever,Chocolate/White,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Miniature Poodle,Red,4745,5,Small
Adoption,Unknown,Cat,Spayed Female,90,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,150,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Pit Bull,Brown/White,5475,3,Large
Transfer,SCRP,Cat,Spayed Female,730,Domestic Shorthair,Torbie,6205,5,Medium
Transfer,SCRP,Cat,Unknown,730,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,90,Chihuahua Shorthair,Black/White,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,White/Brown,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,60,German Shepherd,Cream,4380,5,Medium to Large
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Tan/White,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,1825,Chihuahua Shorthair,Tan,6570,5,Small
Adoption,Unknown,Cat,Intact Female,90,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Golden Retriever,Brown,4745,5,Medium to Large
Transfer,Partner,Dog,Neutered Male,365,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Neutered Male,730,Basenji,Red/White,4380,2,Medium
Transfer,SCRP,Cat,Unknown,365,Domestic Shorthair,Blue,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Blue/Tan,6570,5,Small
Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,2190,Pointer,White/Brown,5475,5,Medium
Transfer,SCRP,Cat,Intact Female,150,Domestic Medium Hair,Torbie,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Miniature Schnauzer,White,5475,5,Small
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,White/Brown,6205,5,Medium
Transfer,Partner,Cat,Intact Male,14,Domestic Medium Hair,Black,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,150,Chihuahua Shorthair,Brown/Black,6570,5,Small
Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,60,Domestic Longhair,Black,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Bruss Griffon,Buff/White,5475,4,Small
Return_to_owner,Unknown,Dog,Neutered Male,365,Norwich Terrier,White/Tan,5475,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Labrador Retriever,Black Brindle,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,1095,Miniature Schnauzer,Gray/White,5475,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,365,Bernese Mountain Dog,Black/White,3285,3,Large
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1095,Miniature Pinscher,Tan/Black,5475,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1095,Labrador Retriever,Brown/Black,4745,5,Medium
Transfer,Partner,Dog,Spayed Female,1825,Chihuahua Shorthair,White/Black,6570,5,Small
Transfer,Partner,Dog,Intact Female,365,Boxer,Red/White,4380,4,Medium
Adoption,Unknown,Cat,Neutered Male,180,Domestic Medium Hair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Chihuahua Shorthair,Tan,6570,5,Small
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,90,Border Collie,Black,5475,5,Medium
Euthanasia,Suffering,Dog,Intact Male,2190,Pit Bull,Red/White,5475,3,Large
Transfer,Partner,Cat,Intact Female,365,Domestic Shorthair,Blue Tabby,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Female,3285,Shih Tzu,White/Brown,5110,5,Small
Return_to_owner,Unknown,Dog,Intact Male,730,Boston Terrier,Black/White,5475,5,Small
Adoption,Unknown,Cat,Intact Female,60,Domestic Shorthair,White/Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,1825,Yorkshire Terrier,Gray,5840,5,Small
Adoption,Foster,Cat,Spayed Female,90,Domestic Shorthair,Torbie,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,210,Chihuahua Shorthair,Tan/White,6570,5,Small
Transfer,Partner,Cat,Unknown,7,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,210,Labrador Retriever,Yellow,4745,5,Medium
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Silver Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,90,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,365,Himalayan,Lynx Point,1825,5,Medium to Large
Adoption,Unknown,Dog,Spayed Female,150,Labrador Retriever,White/Tan,4745,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Longhair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Intact Female,1095,Shih Tzu,White/Buff,5110,5,Small
Transfer,Partner,Cat,Unknown,28,Domestic Longhair,Blue Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,2190,Australian Shepherd,Brown/Tan,5475,5,Medium
Transfer,SCRP,Cat,Unknown,240,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Intact Male,30,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,SCRP,Cat,Spayed Female,150,Domestic Shorthair,White/Black,6205,5,Medium
Transfer,Partner,Dog,Intact Male,730,Pit Bull,Red/White,5475,3,Large
Transfer,SCRP,Cat,Unknown,240,Domestic Shorthair,Black/White,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Female,730,Miniature Poodle,White,4745,5,Small
Adoption,Unknown,Dog,Spayed Female,120,Yorkshire Terrier,Tan/Silver,5840,5,Small
Transfer,Partner,Dog,Intact Female,3285,Miniature Pinscher,Brown,5475,5,Small
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,30,Domestic Shorthair,Black,6205,5,Medium
Euthanasia,Aggressive,Dog,Intact Male,730,Australian Cattle Dog,Black/White,5475,3,Medium
Adoption,Unknown,Dog,Neutered Male,2920,Parson Russell Terrier,White/Brown,5475,5,Medium
Euthanasia,Suffering,Cat,Intact Male,1825,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Medium Hair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Intact Male,60,German Shepherd,Brown/Black,4380,5,Medium to Large
Transfer,Partner,Dog,Spayed Female,730,Chihuahua Shorthair,Tan/Brown,6570,5,Small
Transfer,Partner,Dog,Intact Female,730,Catahoula,White/Tan,5110,3,Large
Return_to_owner,Unknown,Cat,Spayed Female,1825,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,Partner,Dog,Intact Female,120,German Shepherd,Brown/Black,4380,5,Medium to Large
Adoption,Foster,Dog,Neutered Male,30,English Pointer,White/Chocolate,5475,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1095,Yorkshire Terrier,Black/Tan,5840,5,Small
Transfer,Partner,Dog,Intact Female,365,Shih Tzu,White/Cream,5110,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1460,Labrador Retriever,Yellow,4745,5,Medium
Euthanasia,Suffering,Cat,Neutered Male,365,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Euthanasia,Aggressive,Dog,Intact Male,730,Labrador Retriever,Tan,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Boxer,Brown/White,4380,4,Medium
Adoption,Unknown,Dog,Spayed Female,365,American Bulldog,White/Brown,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,730,Redbone Coonhound,Black/Red,5110,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Catahoula,Blue Merle/Tan,5110,3,Large
Transfer,Partner,Dog,Intact Male,60,Labrador Retriever,Brown Brindle,4745,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Australian Shepherd,Black/Tan,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Australian Cattle Dog,Brown/White,5475,3,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Australian Cattle Dog,Buff,5475,3,Medium
Adoption,Unknown,Cat,Spayed Female,365,Domestic Medium Hair,Torbie,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,270,Domestic Shorthair,White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,120,Blue Lacy,Blue/Tan,5475,4,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,2555,Rat Terrier,Tricolor,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,270,Great Dane,White/Brown,2920,3,Giant
Adoption,Unknown,Cat,Neutered Male,2920,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,42,Domestic Shorthair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,Basset Hound,Tricolor,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Cardigan Welsh Corgi,Tan,5110,5,Medium
Transfer,Partner,Dog,Spayed Female,120,Plott Hound,Brown Brindle/White,5110,3,Medium
Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair,White/Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1825,Basset Hound,Black/Tan,5475,5,Medium
Adoption,Unknown,Cat,Spayed Female,90,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,210,Anatol Shepherd,Tan,5110,2,Large
Transfer,Partner,Dog,Spayed Female,730,German Shepherd,Brown,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Spayed Female,1460,Chihuahua Shorthair,Blue/White,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,365,Pit Bull,Brown/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,365,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Intact Male,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Pit Bull,Blue/White,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,365,Bruss Griffon,Tricolor,5475,4,Small
Return_to_owner,Unknown,Dog,Neutered Male,180,Chihuahua Shorthair,Tan/White,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,2920,Border Collie,Black/White,5475,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,German Shepherd,Red,4380,5,Medium to Large
Transfer,Partner,Dog,Intact Female,365,Chihuahua Shorthair,Black,6570,5,Small
Adoption,Unknown,Cat,Spayed Female,120,Domestic Shorthair,Blue,6205,5,Medium
Transfer,Partner,Dog,Intact Female,240,Pit Bull,Blue/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,365,Labrador Retriever,Red,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Cairn Terrier,White/Black,5475,3,Small
Transfer,Partner,Dog,Intact Female,150,Chihuahua Shorthair,White/Black,6570,5,Small
Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,2555,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Cat,Spayed Female,1460,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,1095,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,German Shepherd,Black/Tan,4380,5,Medium to Large
Adoption,Foster,Dog,Spayed Female,730,Australian Cattle Dog,Blue Tick,5475,3,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1460,German Shepherd,Black/Tan,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,730,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1095,German Shepherd,Brown/Black,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,1825,Chihuahua Shorthair,Sable/White,6570,5,Small
Euthanasia,Suffering,Dog,Spayed Female,365,Labrador Retriever,Tan,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,240,Chihuahua Shorthair,Tan/White,6570,5,Small
Transfer,SCRP,Cat,Intact Female,365,Siamese,Seal Point,5475,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Brown,6570,5,Small
Adoption,Foster,Dog,Spayed Female,120,Border Terrier,White/Tan,5475,5,Small
Adoption,Unknown,Dog,Spayed Female,1460,Miniature Poodle,Cream,4745,5,Small
Transfer,Partner,Dog,Neutered Male,1095,Australian Cattle Dog,Blue Merle,5475,3,Medium
Transfer,Partner,Dog,Intact Female,1095,German Shepherd,Black/Tan,4380,5,Medium to Large
Transfer,Partner,Dog,Neutered Male,1460,German Shepherd,Brown/Black,4380,5,Medium to Large
Euthanasia,Suffering,Cat,Neutered Male,365,Domestic Medium Hair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,730,Pit Bull,Blue/White,5475,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,30,Australian Cattle Dog,Brown,5475,3,Medium
Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,3285,Shiba Inu,Red/Cream,5475,4,Medium
Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Shih Tzu,Black/White,5110,5,Small
Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Australian Cattle Dog,White/Brown,5475,3,Medium
Adoption,Unknown,Dog,Spayed Female,365,Shiba Inu,Red,5475,4,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Tan/White,6570,5,Small
Transfer,SCRP,Cat,Intact Male,1095,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,3285,Labrador Retriever,Brown,4745,5,Medium
Transfer,SCRP,Cat,Intact Male,120,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,1095,Bengal,Brown Tiger,5840,5,Medium to Large
Adoption,Foster,Cat,Neutered Male,60,Domestic Medium Hair,Blue Point,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,90,Cairn Terrier,Tan/Black,5475,3,Small
Return_to_owner,Unknown,Dog,Intact Male,365,German Shepherd,Brown/Black,4380,5,Medium to Large
Transfer,SCRP,Cat,Neutered Male,365,Domestic Shorthair,Blue,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,150,Border Collie,Black,5475,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Pit Bull,Brown/White,5475,3,Large
Return_to_owner,Unknown,Dog,Intact Male,150,Australian Cattle Dog,Brown Brindle/White,5475,3,Medium
Return_to_owner,Unknown,Cat,Spayed Female,270,Domestic Shorthair,Agouti,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Chihuahua Shorthair,White/Brown Brindle,6570,5,Small
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Miniature Schnauzer,White/Tan,5475,5,Small
Adoption,Foster,Dog,Spayed Female,30,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,English Shepherd,Tricolor,4745,5,Medium
Transfer,SCRP,Cat,Intact Female,150,Siamese,Lynx Point,5475,5,Medium
Transfer,Partner,Dog,Spayed Female,1825,West Highland,White,5840,4,Small
Transfer,Partner,Dog,Intact Female,1095,Pit Bull,White,5475,3,Large
Euthanasia,Behavior,Dog,Intact Female,1825,Labrador Retriever,Brown,4745,5,Medium
Return_to_owner,Unknown,Dog,Intact Female,180,German Shepherd,Sable,4380,5,Medium to Large
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,120,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Unknown,42,Chihuahua Shorthair,Brown Brindle,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,730,Boxer,Red/White,4380,4,Medium
Transfer,Partner,Dog,Spayed Female,365,Cocker Spaniel,Buff,5110,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1825,Labrador Retriever,Red,4745,5,Medium
Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,2920,Labrador Retriever,Yellow,4745,5,Medium
Euthanasia,Aggressive,Dog,Spayed Female,1460,Labrador Retriever,Black,4745,5,Medium
Transfer,SCRP,Cat,Spayed Female,30,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Unknown,14,Siamese,Tortie Point,5475,5,Medium
Transfer,Partner,Dog,Spayed Female,90,Catahoula,Sable,5110,3,Large
Transfer,Partner,Dog,Intact Female,270,Shih Tzu,White/Black,5110,5,Small
Transfer,Partner,Cat,Intact Female,2190,Domestic Shorthair,Calico,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Pit Bull,White/Black,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,730,Pit Bull,Tan/White,5475,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,730,Boxer,Red/White,4380,4,Medium
Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,60,Chihuahua Shorthair,Tan/White,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,2555,Australian Shepherd,White/Tan,5475,5,Medium
Adoption,Unknown,Dog,Neutered Male,1095,Cairn Terrier,Tan/Black,5475,3,Small
Transfer,Partner,Dog,Neutered Male,1460,Rottweiler,Black/Tan,365,3,Medium to Large
Return_to_owner,Unknown,Cat,Neutered Male,365,Cornish Rex,White/Black,5110,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Siamese,Lilac Point,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,White/Brown,6570,5,Small
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,White/Black,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,30,Labrador Retriever,Black/White,4745,5,Medium
Transfer,Partner,Cat,Spayed Female,180,Domestic Longhair,Tortie,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,240,Miniature Schnauzer,Buff,5475,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Miniature Schnauzer,Brown/Black,5475,5,Small
Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,1095,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1095,Yorkshire Terrier,Tan/Silver,5840,5,Small
Transfer,Partner,Dog,Intact Male,270,Pit Bull,Blue/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,150,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Pit Bull,Black/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,240,Border Collie,Black/White,5475,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Shiba Inu,Red,5475,4,Medium
Return_to_owner,Unknown,Dog,Intact Female,30,Toy Poodle,Brown,5475,4,Small
Return_to_owner,Unknown,Dog,Neutered Male,2190,Flat Coat Retriever,Black/White,4745,5,Medium to Large
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,365,Boxer,Red/White,4380,4,Medium
Adoption,Unknown,Dog,Neutered Male,730,English Bulldog,White/Brown Brindle,4380,3,Small
Return_to_owner,Unknown,Dog,Neutered Male,730,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Intact Female,1095,Rottweiler,Black/Brown,365,3,Medium to Large
Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Pit Bull,Tan/White,5475,3,Large
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Blue Tabby,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1825,Chihuahua Shorthair,Tan/White,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,90,Siberian Husky,Cream/White,5110,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Brown/White,6570,5,Small
Transfer,Partner,Dog,Intact Male,30,Pekingese,Tricolor,5475,5,Small
Transfer,Partner,Cat,Intact Female,21,Domestic Medium Hair,Blue Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,365,Dachshund Longhair,Blue Merle,5110,5,Small
Adoption,Unknown,Dog,Spayed Female,1095,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Schnauzer Giant,Black,3650,3,Giant
Adoption,Unknown,Dog,Spayed Female,1460,Chihuahua Shorthair,White/Brown,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Standard Poodle,Black/Brown,4745,5,Medium
Transfer,Partner,Dog,Neutered Male,120,Black Mouth Cur,Tan/White,5840,4,Medium to Large
Adoption,Unknown,Dog,Spayed Female,90,Australian Cattle Dog,Brown Merle,5475,3,Medium
Adoption,Unknown,Dog,Spayed Female,365,German Shepherd,White,4380,5,Medium to Large
Adoption,Foster,Dog,Spayed Female,150,Chihuahua Shorthair,Brown/White,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,2555,Australian Cattle Dog,Sable/White,5475,3,Medium
Adoption,Offsite,Cat,Spayed Female,365,Siamese,Lynx Point,5475,5,Medium
Transfer,Partner,Dog,Intact Female,28,German Shepherd,Tricolor,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,365,Whippet,Red,5475,5,Medium
Transfer,Partner,Cat,Intact Male,90,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Transfer,SCRP,Cat,Spayed Female,730,Domestic Longhair,Tortie,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Longhair,White/Tan,6570,5,Small
Return_to_owner,Unknown,Cat,Neutered Male,365,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,Partner,Cat,Neutered Male,730,Domestic Shorthair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2920,Yorkshire Terrier,Gray/Tan,5840,5,Small
Adoption,Unknown,Dog,Spayed Female,730,Beagle,Tan/White,5475,5,Small
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Blue/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,60,Australian Cattle Dog,Blue Merle/Brown,5475,3,Medium
Adoption,Unknown,Dog,Neutered Male,240,Pit Bull,Blue/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Brown/Black,6570,5,Small
