Lifespan Interval,Breed,AnimalType,Child Friendly,Grooming,Vocalization,Adaptability,isPurebred,Puppy Price Interval,Intelligence,Stranger Friendly,Lifespan,Shedding Level,isIntact,AgeuponOutcome Interval,Health Issues,Color,Hypoallergenic,AgeuponOutcome,Size,OutcomeType,isColorMix,Puppy Price,SexuponOutcome,Dog Friendly
1,Shar-Pei,Dog,1,2,1,3,0,4,4,1,3650,1,1,4,5,Brown,0,1460,2,Return_to_owner,0,1100,1,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,2,1,Brown,0,150,2,Transfer,1,300,0,3
1,Rhodesian Ridgeback,Dog,5,1,2,4,1,4,4,2,4380,1,1,4,3,Red,0,1825,3,Euthanasia,1,1050,0,2
3,Pointer,Dog,5,1,3,5,0,2,2,2,5475,1,1,2,1,White,0,150,2,Euthanasia,1,450,1,5
3,Siamese,Cat,4,3,5,5,0,2,5,5,5475,3,0,3,1,Flame,0,1095,2,Transfer,1,500,0,5
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,1,3,4,Chocolate,0,730,2,Return_to_owner,1,1500,1,5
1,Rottweiler,Dog,2,1,1,3,0,4,5,1,4015,1,0,4,3,Black,0,3285,2,Return_to_owner,1,1600,1,1
3,Manchester Terrier,Dog,3,1,3,5,0,3,4,3,5840,1,0,3,2,Black,0,730,1,Adoption,1,800,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,60,2,Adoption,1,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,30,2,Adoption,0,300,0,3
3,Standard Schnauzer,Dog,4,5,3,3,1,4,5,3,5475,1,0,2,1,Black,1,240,2,Adoption,0,1350,1,4
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Tortie,0,60,2,Adoption,0,300,1,3
3,Yorkshire Terrier,Dog,1,5,5,5,0,3,5,3,5840,1,0,1,4,Brown,1,60,1,Adoption,0,800,0,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Orange,0,60,2,Adoption,1,300,0,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,1,2,White,0,90,2,Return_to_owner,1,600,0,1
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,3,2,Blue,0,730,2,Adoption,1,600,1,1
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,2,2,Brown,0,365,2,Adoption,1,600,1,1
2,American Staffordshire Terrier,Dog,4,1,2,3,0,4,4,3,5110,1,0,4,3,Brown,0,1825,2,Adoption,1,900,1,1
1,Great Pyrenees,Dog,4,3,5,4,0,3,3,2,4380,4,0,3,5,White,0,730,4,Return_to_owner,0,800,1,3
3,Cairn Terrier,Dog,4,3,5,3,0,3,4,3,5475,3,0,4,2,Cream,1,1460,1,Return_to_owner,0,850,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Black,0,60,2,Adoption,0,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,3,1,Brown,0,730,2,Adoption,1,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Orange,0,60,2,Adoption,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Orange,0,4,2,Transfer,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,Brown,0,365,2,Adoption,1,300,1,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,1,2,4,Tricolor,0,210,1,Transfer,1,700,1,3
2,American Staffordshire Terrier,Dog,4,1,2,3,0,4,4,3,5110,1,0,3,3,Blue,0,730,2,Adoption,1,900,1,1
2,Dachshund,Dog,2,2,4,5,0,2,4,2,5110,3,0,2,3,Brown,0,365,1,Adoption,1,600,1,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Blue,0,30,2,Transfer,1,300,1,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,3,4,Tricolor,0,1095,1,Return_to_owner,1,700,1,3
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,0,2,4,Sable,0,365,2,Return_to_owner,0,1400,0,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Brown,0,3,2,Transfer,1,300,1,3
3,Australian Cattle Dog,Dog,5,1,2,3,0,2,5,2,5475,3,0,2,3,White,0,365,2,Adoption,1,600,1,3
1,Boxer,Dog,4,1,2,4,0,4,4,3,4380,1,0,2,3,Tricolor,0,365,2,Adoption,1,900,1,2
3,Jack Russell Terrier,Dog,4,2,5,5,0,3,2,3,5840,5,0,1,3,Red,0,30,1,Adoption,1,850,0,2
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,1,3,4,Black,0,730,2,Return_to_owner,0,1400,0,2
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,1,4,Black,0,60,1,Adoption,1,700,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Blue,0,90,2,Transfer,1,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Brown,0,60,2,Adoption,1,300,0,3
2,Dachshund,Dog,2,2,4,5,0,2,4,2,5110,3,0,2,3,Tricolor,0,150,1,Adoption,1,600,0,2
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,0,4,4,Tricolor,0,2920,2,Adoption,1,1400,0,2
3,Beagle,Dog,5,1,5,5,1,3,3,4,5475,3,1,1,3,Tricolor,0,30,1,Transfer,1,650,1,5
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,1,4,Yellow,0,90,2,Adoption,1,1500,0,5
1,Harrier,Dog,5,1,2,3,0,2,2,4,4380,3,0,3,1,Red,0,730,2,Transfer,1,350,0,5
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,1,4,Brown,0,30,1,Adoption,1,700,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,Cream,0,365,2,Adoption,1,300,0,3
3,American Cocker Spaniel,Dog,5,5,4,5,0,3,5,5,5475,3,0,3,4,Gold,0,730,2,Transfer,1,700,0,4
1,Weimaraner,Dog,2,1,4,5,0,3,5,4,4380,3,0,4,1,Chocolate,0,1460,2,Return_to_owner,1,700,1,4
3,Tibetan Terrier,Dog,3,5,2,5,0,4,3,3,5475,1,0,1,3,Black,1,30,2,Adoption,1,1600,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Torbie,0,30,2,Transfer,0,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Black,0,90,2,Transfer,1,300,1,3
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,1,4,Black,0,60,2,Adoption,1,1500,0,5
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,1,4,Red,0,90,2,Adoption,0,1500,1,5
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,3,4,Brown,0,730,1,Return_to_owner,0,700,0,3
3,Whippet,Dog,4,1,1,5,0,4,4,3,5475,3,0,2,3,Brown,0,365,2,Adoption,1,1000,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Orange,0,120,2,Adoption,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Black,0,60,2,Transfer,0,300,0,3
3,Persian,Cat,2,5,1,5,0,2,3,2,5475,5,0,4,4,Flame,0,2920,3,Euthanasia,1,600,1,1
3,Australian Cattle Dog,Dog,5,1,2,3,0,2,5,2,5475,3,0,2,3,Brown,0,365,2,Return_to_owner,1,600,0,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,3,2,Black,0,730,2,Euthanasia,0,600,1,1
3,Siamese,Cat,4,3,5,5,0,2,5,5,5475,3,0,4,1,Lynx,0,2920,2,Adoption,1,500,1,5
4,Chihuahua,Dog,1,1,5,5,1,3,3,3,6570,1,0,3,4,Brown,0,1095,1,Adoption,1,700,1,3
4,Chihuahua,Dog,1,1,5,5,1,3,3,3,6570,1,0,3,4,White,0,730,1,Transfer,1,700,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,2,1,Black,0,240,2,Transfer,0,300,0,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,2,2,White,0,365,2,Transfer,1,600,1,1
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,4,1,Blue,0,1825,2,Adoption,1,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,90,2,Adoption,0,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Blue,0,30,2,Adoption,1,300,1,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,4,4,Black,0,2555,1,Return_to_owner,1,700,0,3
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,3,4,Black,0,730,2,Transfer,0,1500,0,5
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,3,2,Black,0,730,2,Return_to_owner,1,600,0,1
2,Dachshund,Dog,2,2,4,5,0,2,4,2,5110,3,0,3,3,Black,0,1095,1,Return_to_owner,0,600,0,2
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,1,4,Tan,0,30,1,Adoption,0,700,1,3
3,Beagle,Dog,5,1,5,5,0,3,3,4,5475,3,0,4,3,Tricolor,0,2555,1,Adoption,1,650,1,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Black,0,30,2,Transfer,0,300,1,3
1,Golden Retriever,Dog,5,3,1,5,0,4,5,5,4745,3,0,2,4,Yellow,0,365,2,Return_to_owner,0,1500,1,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Black,0,30,2,Euthanasia,0,300,1,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,4,2,Brown,0,1825,2,Adoption,1,600,0,1
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,2,1,Torbie,0,240,2,Transfer,0,300,1,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,4,2,Brown,0,2555,2,Adoption,1,600,1,1
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Brown,0,60,2,Adoption,1,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,2,1,Black,0,365,2,Transfer,1,300,1,3
2,Dachshund,Dog,2,2,4,5,0,2,4,2,5110,3,0,3,3,Black,0,1095,1,Return_to_owner,1,600,0,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,2,1,Blue,0,180,2,Euthanasia,0,300,1,3
2,Welsh Terrier,Dog,4,5,5,5,0,4,3,3,5110,1,0,3,2,Tan,1,1095,1,Return_to_owner,1,1000,0,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Brown,0,60,2,Adoption,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Brown,0,14,2,Transfer,1,300,1,3
2,Siberian Husky,Dog,4,3,2,5,0,4,4,3,5110,4,0,4,3,Black,0,1460,2,Return_to_owner,1,950,1,5
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,1,4,4,Chocolate,0,2190,2,Euthanasia,0,1500,0,5
1,Rhodesian Ridgeback,Dog,5,1,2,4,0,4,4,2,4380,1,0,4,3,Fawn,0,2555,3,Return_to_owner,0,1050,1,2
1,Great Pyrenees,Dog,4,3,5,4,0,3,3,2,4380,4,0,3,5,Red,0,1095,4,Return_to_owner,1,800,0,3
1,Bloodhound,Dog,5,2,5,3,1,4,3,3,3650,3,0,4,5,Brown,0,2920,3,Return_to_owner,0,1000,1,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,3,1,Brown,0,730,2,Euthanasia,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,White,0,180,2,Transfer,1,300,1,3
4,Toy Poodle,Dog,2,5,3,5,0,4,5,4,6570,1,1,1,3,Apricot,1,90,1,Transfer,0,1000,1,4
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,White,0,90,2,Adoption,1,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,60,2,Adoption,0,300,0,3
3,Yorkshire Terrier,Dog,1,5,5,5,0,3,5,3,5840,1,0,1,4,White,1,60,1,Return_to_owner,1,800,1,2
3,Basset Hound,Dog,5,2,3,5,0,2,3,5,5475,3,0,3,3,Brown,0,730,2,Return_to_owner,1,400,0,5
2,Dachshund,Dog,2,2,4,5,0,2,4,2,5110,3,0,2,3,Black,0,365,1,Transfer,1,600,0,2
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,4,4,Yellow,0,1460,2,Return_to_owner,1,1500,0,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,White,0,14,2,Transfer,1,300,1,3
3,Border Terrier,Dog,5,3,4,5,0,4,5,2,5475,1,0,1,2,White,1,90,1,Adoption,1,1300,1,2
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,0,2,4,Black,0,365,2,Return_to_owner,1,1400,1,2
3,Border Terrier,Dog,5,3,4,5,0,4,5,2,5475,1,0,2,2,Brown,1,150,1,Adoption,0,1300,0,2
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,4,4,Black,0,1825,2,Return_to_owner,1,1500,0,5
1,English Mastiff,Dog,5,2,2,5,0,4,3,3,4380,1,0,3,4,Tan,0,730,4,Return_to_owner,1,1350,1,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,2,4,Tan,0,365,1,Return_to_owner,1,700,0,3
3,Basset Hound,Dog,5,2,3,5,0,2,3,5,5475,3,1,3,3,White,0,1095,2,Return_to_owner,1,400,1,5
3,Tibetan Terrier,Dog,3,5,2,5,0,4,3,3,5475,1,0,4,3,Tricolor,1,1460,2,Transfer,1,1600,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Blue,0,60,2,Adoption,1,300,0,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,1,1,4,Gold,0,28,1,Transfer,0,700,1,3
3,Pug,Dog,4,1,4,5,0,2,4,5,5475,4,1,2,5,Brown,0,365,1,Transfer,1,400,0,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,4,1,Black,0,1825,2,Euthanasia,1,300,0,3
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,0,4,4,Sable,0,2920,2,Return_to_owner,0,1400,0,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,Orange,0,150,2,Adoption,1,300,0,3
3,Australian Cattle Dog,Dog,5,1,2,3,0,2,5,2,5475,3,0,2,3,Black,0,365,2,Adoption,1,600,0,3
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,2,4,Tan,0,365,2,Adoption,1,1500,1,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Tortie,0,30,2,Transfer,0,300,1,3
3,Siamese,Cat,4,3,5,5,0,2,5,5,5475,3,0,4,1,Flame,0,1460,2,Return_to_owner,1,500,1,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Black,0,90,2,Transfer,0,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,4,1,Orange,0,1460,2,Euthanasia,1,300,0,3
2,American Staffordshire Terrier,Dog,4,1,2,3,0,4,4,3,5110,1,0,3,3,Tan,0,730,2,Euthanasia,1,900,0,1
3,Miniature Pinscher,Dog,4,1,5,5,0,2,4,2,5475,3,0,2,2,Black,0,365,1,Adoption,1,500,1,2
1,Doberman Pinscher,Dog,3,2,2,5,0,4,5,1,4380,3,1,2,4,Black,0,150,2,Transfer,1,900,1,2
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,3,4,Black,0,730,2,Adoption,1,1500,1,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,3,1,Orange,0,1095,2,Died,1,300,0,3
2,American Bulldog,Dog,2,3,4,3,0,3,3,2,5110,3,1,3,3,Tan,0,730,3,Euthanasia,1,800,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Orange,0,90,2,Adoption,1,300,0,3
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,2,4,Buff,0,365,2,Adoption,0,1500,0,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Orange,0,21,2,Transfer,1,300,1,3
3,Pomeranian,Dog,4,3,4,5,0,3,5,3,5475,3,0,4,3,Red,0,2190,1,Return_to_owner,0,700,1,3
2,Miniature Schnauzer,Dog,4,4,3,5,0,3,5,3,5110,1,0,3,3,Cream,1,1095,1,Adoption,1,800,0,3
1,Boxer,Dog,4,1,2,4,0,4,4,3,4380,1,0,2,3,Brown,0,365,2,Return_to_owner,1,900,1,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Torbie,0,60,2,Adoption,0,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Tortie,0,60,2,Transfer,0,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,Brown,0,365,2,Adoption,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,60,2,Transfer,0,300,1,3
3,Pug,Dog,4,1,4,5,0,2,4,5,5475,4,0,2,5,Cream,0,150,1,Adoption,1,400,1,5
3,Australian Cattle Dog,Dog,5,1,2,3,0,2,5,2,5475,3,0,1,3,Blue,0,90,2,Adoption,1,600,1,3
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,3,4,Yellow,0,1095,2,Return_to_owner,0,1500,0,5
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,1,1,4,Black,0,30,2,Transfer,1,1400,0,2
3,Pug,Dog,4,1,4,5,0,2,4,5,5475,4,0,4,5,Red,0,2190,1,Adoption,1,400,1,5
1,Landseer,Dog,5,3,3,4,0,4,4,3,4015,3,0,2,3,Black,0,180,4,Adoption,1,2000,0,4
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Tortie,0,14,2,Euthanasia,0,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,120,2,Adoption,0,300,0,3
3,Carolina Dog,Dog,4,3,5,4,0,2,4,1,5475,2,1,4,3,Red,0,2190,2,Return_to_owner,1,425,0,4
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,3,1,Blue,0,730,2,Transfer,0,300,0,3
1,Weimaraner,Dog,2,1,4,5,0,3,5,4,4380,3,0,4,1,Tan,0,2920,2,Return_to_owner,1,700,1,4
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,2,1,Orange,0,150,2,Transfer,1,300,0,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,2,4,Cream,0,210,1,Return_to_owner,0,700,1,3
1,Labrador Retriever,Dog,5,2,1,5,1,4,5,5,4745,3,0,2,4,Black,0,270,2,Adoption,1,1500,1,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,60,2,Adoption,0,300,1,3
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,3,4,Black,0,1095,2,Return_to_owner,0,1500,0,5
4,Domestic,Cat,3,4,2,5,1,1,5,3,6205,4,0,3,1,Calico,0,730,2,Transfer,0,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Brown,0,90,2,Adoption,1,300,0,3
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,2,2,Brown,0,365,2,Return_to_owner,1,600,0,1
3,American Cocker Spaniel,Dog,5,5,4,5,0,3,5,5,5475,3,0,2,4,White,0,365,2,Euthanasia,1,700,0,4
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,0,3,4,Black,0,1095,2,Adoption,1,1400,0,2
2,Siberian Husky,Dog,4,3,2,5,0,4,4,3,5110,4,0,2,3,White,0,365,2,Adoption,0,950,0,5
2,Pit Bull,Dog,2,1,3,5,0,2,3,2,5110,1,0,2,2,Blue,0,270,2,Adoption,1,600,0,1
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,4,4,Black,0,1825,2,Return_to_owner,0,1500,0,5
2,Plott Hound,Dog,4,1,3,3,0,2,2,2,5110,1,0,1,1,Brown,0,30,2,Adoption,1,400,1,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,4,4,Buff,0,1825,1,Return_to_owner,0,700,0,3
2,Anatol Shepherd,Dog,4,2,4,2,1,3,2,1,5110,5,1,2,4,Tan,0,365,3,Return_to_owner,1,800,1,1
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,1,4,Black,0,30,1,Adoption,1,700,0,3
2,Chow Chow,Dog,2,5,3,2,0,3,3,1,5110,4,0,2,3,Tan,0,210,2,Adoption,1,700,1,1
4,Toy Poodle,Dog,2,5,3,5,0,4,5,4,6570,1,0,3,3,Black,1,730,1,Return_to_owner,0,1000,1,4
2,Dachshund,Dog,2,2,4,5,0,2,4,2,5110,3,0,3,3,Buff,0,730,1,Transfer,0,600,0,2
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,3,4,Tan,0,1095,1,Return_to_owner,0,700,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,4,1,Brown,0,1460,2,Transfer,1,300,0,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,2,4,Black,0,365,1,Return_to_owner,1,700,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Black,0,28,2,Transfer,1,300,1,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,4,4,Brown,0,2555,1,Return_to_owner,1,700,0,3
2,Anatol Shepherd,Dog,4,2,4,2,0,3,2,1,5110,5,0,3,4,White,0,730,3,Transfer,1,800,1,1
2,Shih Tzu,Dog,2,5,3,5,0,4,3,3,5110,1,1,3,3,Gray,1,1095,1,Transfer,1,1000,1,5
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,Black,0,365,2,Transfer,1,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,Black,0,365,2,Return_to_owner,0,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,2,1,Orange,0,365,2,Transfer,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Brown,0,30,2,Transfer,1,300,1,3
4,Toy Poodle,Dog,2,5,3,5,0,4,5,4,6570,1,0,4,3,Black,1,2190,1,Adoption,1,1000,1,4
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,2,1,Black,0,180,2,Adoption,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Brown,0,60,2,Adoption,1,300,0,3
3,Jack Russell Terrier,Dog,4,2,5,5,0,3,2,3,5840,5,0,2,3,Tricolor,0,240,1,Adoption,1,850,1,2
2,Plott Hound,Dog,4,1,3,3,0,2,2,2,5110,1,0,3,1,Brown,0,1095,2,Transfer,1,400,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,3,1,Cream,0,730,2,Return_to_owner,1,300,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Orange,0,30,2,Euthanasia,1,300,0,3
1,Great Pyrenees,Dog,4,3,5,4,0,3,3,2,4380,4,0,4,5,White,0,1825,4,Adoption,0,800,1,3
2,Siberian Husky,Dog,4,3,2,5,0,4,4,3,5110,4,0,4,3,Black,0,1825,2,Return_to_owner,1,950,1,5
2,Miniature Schnauzer,Dog,4,4,3,5,0,3,5,3,5110,1,0,2,3,Cream,1,180,1,Transfer,0,800,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Torbie,0,60,2,Adoption,0,300,1,3
2,Dachshund,Dog,2,2,4,5,0,2,4,2,5110,3,0,2,3,Tan,0,365,1,Adoption,1,600,0,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Brown,0,90,2,Adoption,1,300,1,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,2,4,Black,0,240,1,Transfer,0,700,1,3
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,0,2,4,White,0,180,2,Adoption,0,1400,0,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,60,2,Adoption,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,1,1,Black,0,60,2,Adoption,1,300,0,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,4,4,Tricolor,0,2190,1,Transfer,1,700,0,3
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,0,2,4,Brown,0,365,2,Adoption,0,1400,0,2
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,1,2,4,Tan,0,150,2,Transfer,0,1500,1,5
2,Toy Fox Terrier,Dog,2,1,2,5,0,2,2,3,5110,3,0,4,3,Brown,0,1460,1,Euthanasia,1,500,0,3
4,Rat Terrier,Dog,5,1,1,5,0,2,2,4,6570,3,0,1,3,Tricolor,0,30,1,Return_to_owner,1,400,1,4
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,2,4,Brown,0,365,1,Adoption,1,700,0,3
1,Great Pyrenees,Dog,4,3,5,4,0,3,3,2,4380,4,0,3,5,White,0,730,4,Return_to_owner,1,800,0,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,2,4,White,0,365,1,Adoption,1,700,1,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,0,4,1,Black,0,2190,2,Transfer,1,300,0,3
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,1,1,Cream,0,7,2,Transfer,1,300,0,3
4,Chihuahua,Dog,1,1,5,5,0,3,3,3,6570,1,0,4,4,Sable,0,1460,1,Adoption,0,700,0,3
1,Labrador Retriever,Dog,5,2,1,5,0,4,5,5,4745,3,0,1,4,Black,0,60,2,Adoption,1,1500,1,5
1,Doberman Pinscher,Dog,3,2,2,5,0,4,5,1,4380,3,0,1,4,Chocolate,0,30,2,Return_to_owner,1,900,1,2
2,Dachshund,Dog,2,2,4,5,0,2,4,2,5110,3,0,1,3,Sable,0,60,1,Adoption,0,600,0,2
2,Siberian Husky,Dog,4,3,2,5,0,4,4,3,5110,4,0,3,3,Black,0,730,2,Return_to_owner,1,950,0,5
1,Bull Terrier,Dog,4,1,2,4,0,4,3,4,4380,3,0,2,5,White,0,210,2,Adoption,1,1350,0,2
4,Domestic,Cat,3,4,2,5,0,1,5,3,6205,4,1,2,1,Black,0,180,2,Transfer,0,300,0,3
1,German Shepherd,Dog,5,2,3,5,0,4,5,1,4380,5,0,2,4,Tan,0,365,2,Return_to_owner,1,1400,0,2
3,Basset Hound,Dog,5,2,3,5,0,2,3,5,5475,3,0,4,3,Red,0,1825,2,Return_to_owner,1,400,0,5
