OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Adoption,Dog,Spayed Female,6.0,Chihuahua Longhair,White/Tan,219.0,5,Small
Transfer,Dog,Spayed Female,12.166666666666666,Rat Terrier,White/Black,219.0,5,Small
Adoption,Dog,Neutered Male,60.833333333333336,Australian Cattle Dog,White/Black,182.5,3,Medium
Return_to_owner,Dog,Neutered Male,24.333333333333332,Jack Russell Terrier,White,194.66666666666666,5,Small
Adoption,Cat,Neutered Male,5.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,German Shepherd,Brown,146.0,5,Medium to Large
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,White/Orange Tabby,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,12.166666666666666,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,5.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Neutered Male,97.33333333333333,Domestic Shorthair,Blue/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,0.7,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,85.16666666666667,Domestic Shorthair,Torbie,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,12.166666666666666,Bull Terrier,Brown Brindle/White,146.0,4,Medium
Adoption,Cat,Neutered Male,3.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Dachshund,Tan/White,170.33333333333334,5,Small
Return_to_owner,Cat,Neutered Male,36.5,Domestic Shorthair,White/Blue,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,8.0,Border Collie,Black/White,182.5,5,Medium
Transfer,Dog,Intact Female,3.0,Australian Kelpie,Black/Tan,170.33333333333334,5,Large
Euthanasia,Dog,Neutered Male,12.166666666666666,Beagle,Tricolor,182.5,5,Small
Return_to_owner,Dog,Spayed Female,48.666666666666664,Pit Bull,Black/White,182.5,3,Large
Adoption,Dog,Spayed Female,109.5,Pointer,White/Tan,182.5,5,Medium
Adoption,Dog,Neutered Male,3.0,Pit Bull,Blue/White,182.5,3,Large
Transfer,Dog,Intact Male,3.0,Catahoula,White/Brown Merle,170.33333333333334,3,Large
Euthanasia,Dog,Neutered Male,24.333333333333332,Pointer,Black/White,182.5,5,Medium
Adoption,Dog,Neutered Male,85.16666666666667,Border Collie,Tricolor/White,182.5,5,Medium
Euthanasia,Dog,Intact Male,12.166666666666666,Pit Bull,Brown Brindle/White,182.5,3,Large
Adoption,Cat,Neutered Male,6.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,4.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,1.0,Domestic Shorthair,Blue,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,36.5,Chihuahua Shorthair,Tan/White,219.0,5,Small
Transfer,Dog,Neutered Male,24.333333333333332,Miniature Poodle,White,158.16666666666666,5,Small
Euthanasia,Dog,Intact Female,85.16666666666667,Pit Bull,Blue/White,182.5,3,Large
Return_to_owner,Dog,Spayed Female,12.166666666666666,Labrador Retriever,Tan/White,158.16666666666666,5,Medium
Euthanasia,Dog,Neutered Male,36.5,Australian Cattle Dog,Blue Merle,182.5,3,Medium
Return_to_owner,Dog,Neutered Male,48.666666666666664,Dachshund,Brown,170.33333333333334,5,Small
Adoption,Cat,Spayed Female,5.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.4666666666666667,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Cream Tabby,206.83333333333334,5,Medium
Return_to_owner,Cat,Spayed Female,8.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,1.0,Rat Terrier,Black/White,219.0,5,Small
Transfer,Cat,Intact Female,0.7,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,60.833333333333336,Miniature Poodle,White,158.16666666666666,5,Small
Transfer,Cat,Neutered Male,24.333333333333332,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,7.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Cat,Neutered Male,12.166666666666666,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,12.166666666666666,Rottweiler,Black/Brown,12.166666666666666,3,Medium to Large
Transfer,Dog,Intact Male,1.0,Pit Bull,Tan,182.5,3,Large
Return_to_owner,Dog,Neutered Male,1.0,Pit Bull,Black Brindle/White,182.5,3,Large
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,8.0,Golden Retriever,Gold,158.16666666666666,5,Medium to Large
Adoption,Dog,Neutered Male,97.33333333333333,Dachshund,Brown/Black,170.33333333333334,5,Small
Transfer,Dog,Neutered Male,2.0,Dachshund,Brown/White,170.33333333333334,5,Small
Adoption,Cat,Spayed Female,1.0,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Pit Bull,Blue/White,182.5,3,Large
Adoption,Dog,Spayed Female,85.16666666666667,Jack Russell Terrier,Black/White,194.66666666666666,5,Small
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,Dogo Argentino,White,146.0,3,Large
Adoption,Dog,Neutered Male,12.166666666666666,Miniature Schnauzer,Black/Tan,182.5,5,Small
Adoption,Dog,Spayed Female,1.0,Border Collie,Chocolate/White,182.5,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Siberian Husky,Black/White,170.33333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,12.166666666666666,West Highland,White/Tan,194.66666666666666,4,Small
Transfer,Cat,Intact Male,0.4666666666666667,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Cat,Neutered Male,24.333333333333332,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,97.33333333333333,Miniature Schnauzer,Silver/Brown,182.5,5,Small
Adoption,Cat,Neutered Male,3.0,Domestic Shorthair,White/Brown Tabby,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,24.333333333333332,Chihuahua Shorthair,Black/White,219.0,5,Small
Adoption,Dog,Spayed Female,1.0,Chihuahua Shorthair,Black,219.0,5,Small
Adoption,Cat,Spayed Female,5.0,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Pit Bull,Brown Brindle,182.5,3,Large
Return_to_owner,Dog,Spayed Female,36.5,Chihuahua Shorthair,Brown/Tan,219.0,5,Small
Adoption,Dog,Neutered Male,12.166666666666666,Picardy Sheepdog,Cream,170.33333333333334,5,Medium
Adoption,Dog,Neutered Male,97.33333333333333,Chinese Sharpei,Tan/White,121.66666666666667,3,Medium
Transfer,Cat,Spayed Female,4.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,24.333333333333332,Domestic Shorthair,White/Orange Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,Shih Tzu,Brown/White,170.33333333333334,5,Small
Return_to_owner,Dog,Neutered Male,7.0,Australian Cattle Dog,White,182.5,3,Medium
Adoption,Dog,Spayed Female,5.0,German Shepherd,Brown/Black,146.0,5,Medium to Large
Adoption,Dog,Intact Male,1.0,Patterdale Terr,Black/White,194.66666666666666,4,Small
Adoption,Dog,Neutered Male,24.333333333333332,Pit Bull,Fawn,182.5,3,Large
Adoption,Dog,Spayed Female,12.166666666666666,Labrador Retriever,Brown,158.16666666666666,5,Medium
Adoption,Dog,Spayed Female,36.5,Chihuahua Shorthair,Fawn/White,219.0,5,Small
Transfer,Cat,Intact Female,0.7,Domestic Shorthair,Blue Tabby,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,White,206.83333333333334,5,Medium
Return_to_owner,Dog,Intact Female,24.333333333333332,Boston Terrier,Black/White,182.5,5,Small
Transfer,Dog,Neutered Male,36.5,Labrador Retriever,White/Brown,158.16666666666666,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Labrador Retriever,Tan/White,158.16666666666666,5,Medium
Adoption,Dog,Neutered Male,24.333333333333332,Pit Bull,Fawn/White,182.5,3,Large
Adoption,Cat,Neutered Male,2.0,Domestic Medium Hair,Brown Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,8.0,Labrador Retriever,Chocolate,158.16666666666666,5,Medium
Adoption,Dog,Spayed Female,8.0,Chihuahua Shorthair,Brown,219.0,5,Small
Adoption,Dog,Neutered Male,2.0,Chihuahua Shorthair,Black/White,219.0,5,Small
Adoption,Cat,Spayed Female,6.0,Domestic Shorthair,Blue Tabby,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,60.833333333333336,Labrador Retriever,Black/White,158.16666666666666,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Intact Male,97.33333333333333,Chihuahua Shorthair,Red,219.0,5,Small
Transfer,Cat,Intact Female,2.0,Domestic Shorthair,White/Brown Tabby,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,7.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,4.0,Domestic Shorthair,Tortie,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,12.166666666666666,Catahoula,Brown Merle/White,170.33333333333334,3,Large
Adoption,Dog,Spayed Female,1.0,Cardigan Welsh Corgi,White/Brown,170.33333333333334,5,Medium
Transfer,Dog,Spayed Female,85.16666666666667,Pit Bull,Red,182.5,3,Large
Transfer,Cat,Intact Female,2.0,Domestic Shorthair,Torbie/White,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,12.166666666666666,Maltese,White,219.0,5,Small
Adoption,Dog,Spayed Female,9.0,Pit Bull,Blue Tiger/White,182.5,3,Large
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,97.33333333333333,Australian Cattle Dog,Blue Merle,182.5,3,Medium
Return_to_owner,Dog,Spayed Female,24.333333333333332,Shih Tzu,White/Brown,170.33333333333334,5,Small
Died,Dog,Neutered Male,12.166666666666666,Pembroke Welsh Corgi,Black/White,170.33333333333334,5,Small
Adoption,Dog,Neutered Male,2.0,Pit Bull,Chocolate/White,182.5,3,Large
Transfer,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Torbie,206.83333333333334,5,Medium
Transfer,Dog,Intact Male,1.0,Jack Russell Terrier,Black/Tan,194.66666666666666,5,Small
Return_to_owner,Dog,Neutered Male,36.5,Bull Terrier,Brown Brindle,146.0,4,Medium
Died,Cat,Intact Male,1.0,Domestic Shorthair,Blue Tabby/White,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Longhair,Black,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,12.166666666666666,Persian,Black,182.5,5,Medium to Large
Return_to_owner,Dog,Spayed Female,1.0,Dalmatian,White/Black,170.33333333333334,5,Large
Transfer,Cat,Neutered Male,3.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,48.666666666666664,Miniature Pinscher,Brown,182.5,5,Small
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,6.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Labrador Retriever,Black,158.16666666666666,5,Medium
Adoption,Dog,Spayed Female,48.666666666666664,Chihuahua Shorthair,Tan,219.0,5,Small
Transfer,Dog,Intact Male,1.0,Australian Shepherd,Blue Merle/White,182.5,5,Medium
Transfer,Cat,Intact Male,6.0,Siamese,Lynx Point,182.5,5,Medium
Transfer,Cat,Spayed Female,8.0,Domestic Shorthair,Blue Tabby,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Labrador Retriever,Blue/White,158.16666666666666,5,Medium
Return_to_owner,Dog,Neutered Male,12.166666666666666,German Wirehaired Pointer,Brown/White,170.33333333333334,5,Medium
Adoption,Dog,Spayed Female,36.5,Chihuahua Shorthair,Brown,219.0,5,Small
Adoption,Dog,Spayed Female,24.333333333333332,Cocker Spaniel,Black/Tan,170.33333333333334,5,Medium
Adoption,Dog,Spayed Female,60.833333333333336,Collie Rough,Tan/White,170.33333333333334,4,Medium
Adoption,Cat,Spayed Female,3.0,Domestic Shorthair,Blue Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Golden Retriever,Yellow,158.16666666666666,5,Medium to Large
Adoption,Dog,Neutered Male,1.0,Schnauzer Giant,Black/White,121.66666666666667,3,Giant
Transfer,Dog,Neutered Male,60.833333333333336,American Staffordshire Terrier,Fawn/Tricolor,170.33333333333334,3,Medium
Adoption,Dog,Spayed Female,5.0,German Shepherd,Brown/Black,146.0,5,Medium to Large
Euthanasia,Cat,Neutered Male,12.166666666666666,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Adoption,Cat,Intact Male,2.0,Domestic Shorthair,Cream Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.7,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,60.833333333333336,Chihuahua Shorthair,Chocolate/Tan,219.0,5,Small
Return_to_owner,Dog,Intact Female,12.166666666666666,Rottweiler,Black/Brown,12.166666666666666,3,Medium to Large
Return_to_owner,Dog,Spayed Female,12.166666666666666,Chihuahua Shorthair,Tricolor,219.0,5,Small
Transfer,Dog,Intact Male,60.833333333333336,Pit Bull,Black/White,182.5,3,Large
Transfer,Cat,Intact Male,0.4666666666666667,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Medium Hair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,6.0,Domestic Shorthair,Tortie/Blue Cream,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,12.166666666666666,German Shepherd,White,146.0,5,Medium to Large
Adoption,Cat,Intact Female,1.0,Domestic Shorthair,Torbie,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.9333333333333333,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Medium Hair,Silver Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,3.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,36.5,Pit Bull,Brown Brindle/White,182.5,3,Large
Adoption,Cat,Neutered Male,60.833333333333336,Siamese,Lynx Point,182.5,5,Medium
Return_to_owner,Dog,Spayed Female,97.33333333333333,German Shepherd,Tan,146.0,5,Medium to Large
Return_to_owner,Dog,Intact Male,97.33333333333333,Great Pyrenees,White/Tan,146.0,4,Giant
Adoption,Dog,Spayed Female,36.5,Vizsla,Red/Tan,170.33333333333334,5,Medium
Return_to_owner,Cat,Neutered Male,73.0,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,24.333333333333332,Golden Retriever,Cream,158.16666666666666,5,Medium to Large
Adoption,Dog,Neutered Male,3.0,Chihuahua Shorthair,Tan,219.0,5,Small
Adoption,Cat,Neutered Male,4.0,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Cat,Intact Male,1.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,85.16666666666667,Pit Bull,Red,182.5,3,Large
Return_to_owner,Dog,Neutered Male,12.166666666666666,Labrador Retriever,Yellow,158.16666666666666,5,Medium
Transfer,Dog,Spayed Female,60.833333333333336,Chinese Sharpei,Tan,121.66666666666667,3,Medium
Adoption,Dog,Neutered Male,1.0,Schipperke,Black,182.5,5,Small
Adoption,Dog,Spayed Female,12.166666666666666,Dachshund,Brown Brindle/White,170.33333333333334,5,Small
Adoption,Dog,Neutered Male,12.166666666666666,Pit Bull,White/Chocolate,182.5,3,Large
Adoption,Cat,Spayed Female,2.0,Domestic Medium Hair,Blue Tabby,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,4.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,12.166666666666666,Rat Terrier,Tricolor,219.0,5,Small
Adoption,Dog,Neutered Male,2.0,Australian Cattle Dog,Brown Merle/White,182.5,3,Medium
Return_to_owner,Cat,Neutered Male,12.166666666666666,Domestic Longhair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Cat,Spayed Female,24.333333333333332,Domestic Shorthair,Blue/White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,2.0,Cocker Spaniel,Tan/White,170.33333333333334,5,Medium
Transfer,Dog,Intact Male,12.166666666666666,Pit Bull,Blue,182.5,3,Large
Return_to_owner,Dog,Spayed Female,73.0,Australian Shepherd,Tricolor,182.5,5,Medium
Transfer,Cat,Intact Female,24.333333333333332,Domestic Shorthair,Torbie,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Siberian Husky,White/Gray,170.33333333333334,5,Medium
Adoption,Dog,Neutered Male,24.333333333333332,Toy Poodle,White,182.5,4,Small
Transfer,Dog,Neutered Male,1.0,German Shepherd,Black/Tan,146.0,5,Medium to Large
Adoption,Dog,Spayed Female,2.0,German Shepherd,Sable,146.0,5,Medium to Large
Transfer,Dog,Neutered Male,12.166666666666666,Plott Hound,Brown Brindle/White,170.33333333333334,3,Medium
Adoption,Dog,Neutered Male,6.0,Chihuahua Shorthair,Tan,219.0,5,Small
Transfer,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,60.833333333333336,Labrador Retriever,Buff,158.16666666666666,5,Medium
Transfer,Dog,Spayed Female,1.0,Pit Bull,White/Blue,182.5,3,Large
Adoption,Cat,Spayed Female,4.0,Siamese,Lilac Point,182.5,5,Medium
Transfer,Cat,Intact Female,2.0,Domestic Medium Hair,Brown Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,97.33333333333333,Rottweiler,Black/Tan,12.166666666666666,3,Medium to Large
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,12.166666666666666,Chihuahua Shorthair,Brown,219.0,5,Small
Adoption,Cat,Intact Male,1.0,Domestic Medium Hair,Orange Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Swedish Vallhund,Sable,170.33333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,24.333333333333332,Chihuahua Longhair,Black/Tan,219.0,5,Small
Transfer,Cat,Intact Female,24.333333333333332,Maine Coon,Brown Tabby,182.5,5,Large to Giant
Transfer,Cat,Intact Male,2.0,Domestic Shorthair,Blue Tabby,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,2.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,48.666666666666664,Chihuahua Longhair,White,219.0,5,Small
Adoption,Dog,Spayed Female,2.0,Catahoula,Blue Merle/White,170.33333333333334,3,Large
Adoption,Cat,Spayed Female,2.0,Siamese,Flame Point,182.5,5,Medium
Transfer,Dog,Intact Male,6.0,Labrador Retriever,Black,158.16666666666666,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Transfer,Cat,Neutered Male,36.5,Domestic Shorthair,Black,206.83333333333334,5,Medium
Euthanasia,Dog,Spayed Female,12.166666666666666,Pit Bull,White,182.5,3,Large
Transfer,Cat,Intact Female,0.4666666666666667,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,24.333333333333332,Rhod Ridgeback,Red,146.0,4,Large
Adoption,Dog,Neutered Male,24.333333333333332,Catahoula,Black/Tricolor,170.33333333333334,3,Large
Transfer,Cat,Spayed Female,12.166666666666666,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Return_to_owner,Cat,Neutered Male,12.166666666666666,Siamese,Seal Point/White,182.5,5,Medium
Euthanasia,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Spayed Female,24.333333333333332,Siamese,Seal Point,182.5,5,Medium
Adoption,Dog,Spayed Female,73.0,Labrador Retriever,Brown,158.16666666666666,5,Medium
Adoption,Dog,Spayed Female,5.0,Australian Cattle Dog,Brown/White,182.5,3,Medium
Adoption,Cat,Spayed Female,3.0,Domestic Shorthair,Blue Tabby/White,206.83333333333334,5,Medium
Transfer,Cat,Spayed Female,36.5,Domestic Longhair,Black,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,12.166666666666666,Domestic Shorthair,Cream Tabby/White,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black Smoke,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,Miniature Schnauzer,Gray,182.5,5,Small
Return_to_owner,Dog,Neutered Male,1.0,Dachshund Wirehair,White,170.33333333333334,5,Small
Return_to_owner,Dog,Spayed Female,36.5,Siberian Husky,Red/Tan,170.33333333333334,5,Medium
Transfer,Cat,Intact Female,4.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,24.333333333333332,Pit Bull,Brown Brindle,182.5,3,Large
Transfer,Dog,Neutered Male,12.166666666666666,Chihuahua Shorthair,Black/Tan,219.0,5,Small
Adoption,Dog,Neutered Male,2.0,Dachshund,Buff/White,170.33333333333334,5,Small
Adoption,Dog,Neutered Male,24.333333333333332,Anatol Shepherd,Cream,170.33333333333334,2,Large
Transfer,Cat,Neutered Male,24.333333333333332,Domestic Longhair,Black/White,206.83333333333334,5,Medium
Euthanasia,Dog,Intact Female,97.33333333333333,Rottweiler,Black/Brown,12.166666666666666,3,Medium to Large
Transfer,Cat,Spayed Female,36.5,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Transfer,Dog,Intact Male,24.333333333333332,Pit Bull,Brown/White,182.5,3,Large
Adoption,Cat,Neutered Male,3.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,1.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Transfer,Cat,Neutered Male,3.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,8.0,Border Collie,Black/White,182.5,5,Medium
Transfer,Cat,Neutered Male,60.833333333333336,Domestic Longhair,White/Orange Tabby,206.83333333333334,5,Medium
Euthanasia,Dog,Neutered Male,73.0,Plott Hound,Brown Brindle/White,170.33333333333334,3,Medium
Return_to_owner,Dog,Intact Male,24.333333333333332,Siberian Husky,Red/White,170.33333333333334,5,Medium
Transfer,Cat,Intact Male,0.4666666666666667,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,36.5,Catahoula,Red/White,170.33333333333334,3,Large
Transfer,Cat,Neutered Male,3.0,Domestic Shorthair,Black Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Intact Female,109.5,Australian Cattle Dog,Blue Merle,182.5,3,Medium
Adoption,Dog,Spayed Female,9.0,Chinese Sharpei,Tan/White,121.66666666666667,3,Medium
Adoption,Dog,Neutered Male,1.0,Airedale Terrier,Brown Brindle,158.16666666666666,5,Medium
Adoption,Dog,Spayed Female,2.0,Dachshund,Buff/White,170.33333333333334,5,Small
Transfer,Cat,Intact Female,1.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Longhair,Black Smoke,206.83333333333334,5,Medium
Transfer,Dog,Intact Male,24.333333333333332,Newfoundland,Black,24.333333333333332,4,Large to Giant
Adoption,Dog,Neutered Male,12.166666666666666,Pit Bull,Brown Brindle,182.5,3,Large
Return_to_owner,Dog,Neutered Male,36.5,German Shepherd,Tan/White,146.0,5,Medium to Large
Adoption,Dog,Neutered Male,4.0,Havanese,Apricot,182.5,5,Small
Transfer,Dog,Intact Male,2.0,Plott Hound,Tricolor,170.33333333333334,3,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Australian Cattle Dog,Blue Merle,182.5,3,Medium
Transfer,Cat,Neutered Male,3.0,Siamese,Flame Point,182.5,5,Medium
Adoption,Dog,Neutered Male,4.0,Border Collie,Black,182.5,5,Medium
Return_to_owner,Dog,Intact Male,24.333333333333332,German Shepherd,Black/Brown,146.0,5,Medium to Large
Adoption,Dog,Neutered Male,109.5,Chihuahua Shorthair,Brown/White,219.0,5,Small
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,3.0,Dachshund,Tricolor,170.33333333333334,5,Small
Adoption,Dog,Spayed Female,73.0,English Bulldog,Tricolor,146.0,3,Small
Adoption,Cat,Spayed Female,2.0,Siamese,Flame Point,182.5,5,Medium
Transfer,Cat,Intact Female,0.7,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Died,Dog,Intact Male,7.0,Chihuahua Shorthair,Brown Brindle,219.0,5,Small
Transfer,Cat,Intact Female,0.9333333333333333,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,4.0,Chihuahua Shorthair,Brown/White,219.0,5,Small
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Tortie,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,12.166666666666666,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Cat,Neutered Male,2.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,6.0,Australian Kelpie,Tan/White,170.33333333333334,5,Large
Transfer,Dog,Spayed Female,60.833333333333336,Labrador Retriever,Black/White,158.16666666666666,5,Medium
Euthanasia,Dog,Neutered Male,73.0,Pit Bull,Brown Brindle,182.5,3,Large
Return_to_owner,Dog,Neutered Male,24.333333333333332,Pit Bull,White/Brown,182.5,3,Large
Adoption,Cat,Spayed Female,24.333333333333332,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,36.5,Yorkshire Terrier,Blue/Tan,194.66666666666666,5,Small
Transfer,Cat,Intact Male,1.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,12.166666666666666,Labrador Retriever,Tan/White,158.16666666666666,5,Medium
Adoption,Dog,Neutered Male,2.0,Pit Bull,Chocolate,182.5,3,Large
Adoption,Dog,Neutered Male,12.166666666666666,Pit Bull,Blue/White,182.5,3,Large
Adoption,Cat,Neutered Male,2.0,Domestic Longhair,Cream Tabby,206.83333333333334,5,Medium
