Puppy Price,Barking Tendencies,Name,Health Issues,Hypoallergenic,Litter Size,Cat Friendly,Exercise Needs,Grooming,Shedding Level,Size,Child Friendly,Watchdog Ability,Dog Friendly,Stranger Friendly,Other Names,Intelligence,Trainability,Breed_definition,Adaptability,Lifespan,Apartment Friendly,Playfulness
Average $1000 - $1200 USD,1 stars,Basenji,3 stars,Yes,4-5 puppies,2 stars,4 stars,1 stars,1 stars,Medium,4 stars,3 stars,2 stars,2 stars,"Congo Dog, Congo Terrier, African Bush Dog, African Barkless Dog, Ango Angari, Zande Dog",3 stars,2 stars,Purebred,2 stars,10-12 years,2 stars,3 stars
Average $1800 - $2000 USD,3 stars,Nova Scotia Duck Tolling Retriever,4 stars,No,6-10 puppies,3 stars,4 stars,2 stars,3 stars,Medium,5 stars,3 stars,5 stars,2 stars,"Toller, Scotty, Novie, Little River Duck Dog",2 stars,2 stars,Purebred,5 stars,12-14 years,5 stars,5 stars
Average $1000 - $1200 USD,3 stars,Flat-Coated Retriever,5 stars,No,4-8 puppies,3 stars,5 stars,1 stars,3 stars,Medium,4 stars,5 stars,4 stars,4 stars,"Flatcoat, Flattie, Flatte",5 stars,5 stars,Purebred,5 stars,10-13 years,1 stars,5 stars
Average $300 - $500 USD,1 stars,Japanese Chin,3 stars,No,1-3 puppies,5 stars,1 stars,3 stars,3 stars,Small,2 stars,3 stars,3 stars,5 stars,"Chin, Japanese Spaniel",3 stars,2 stars,Purebred,5 stars,12-14 years,5 stars,3 stars
Average $1200 - $1500 USD,5 stars,Belgian Tervuren,3 stars,No,6-10 puppies,2 stars,4 stars,3 stars,5 stars,Medium,4 stars,5 stars,3 stars,2 stars,"Tervuren, Chien De Berger Belge",5 stars,5 stars,Purebred,5 stars,10-12 years,3 stars,5 stars
Average $1200 - $2000 USD,2 stars,Tibetan Terrier,3 stars,Yes,4-6 puppies,3 stars,4 stars,5 stars,1 stars,Medium,3 stars,3 stars,3 stars,3 stars,"Tsang Apso, Dokhi Apso",3 stars,2 stars,Purebred,5 stars,12-15 years,5 stars,4 stars
Average $2000 - $2500 USD,1 stars,Afghan Hound,3 stars,Yes,6-8 puppies,2 stars,4 stars,5 stars,3 stars,large,4 stars,2 stars,3 stars,2 stars,"Baluchi Hound, Tazi, Tazhi Spay, Da Kochyano Spay, Sage Balochi, Ogar Afgan, Eastern Greyhound/Persian Greyhound",3 stars,2 stars,Purebred,5 stars,12-14 years,5 stars,5 stars
Average $800 - $1000 USD,3 stars,Brussels Griffon,3 stars,Yes,1-3 puppies,5 stars,2 stars,5 stars,1 stars,Small,1 stars,3 stars,3 stars,3 stars,"Griffon Belge, Griffon Bruxellois, Belgian Griffon, Petit Brabançon, Griffon, Griff, Bruss",2 stars,1 stars,Purebred,4 stars,12-15 years,5 stars,3 stars
Average $400 - $600 USD,4 stars,English Setter,3 stars,No,4-6 puppies,4 stars,5 stars,3 stars,3 stars,Large,5 stars,3 stars,5 stars,5 stars,"Lawerack, Laverack, Llewellin (or Llewellyn) Setter",4 stars,4 stars,Purebred,3 stars,10-12 years,1 stars,4 stars
Average $800 - $1000 USD,5 stars,Wire Fox Terrier,3 stars,Yes,4-6 puppies,1 stars,5 stars,5 stars,1 stars,medium,5 stars,3 stars,2 stars,3 stars,"Foxie, Wire Hair Fox Terrier, Wirehaired Terrier",3 stars,4 stars,Purebred,5 stars,12-14 years,3 stars,5 stars
Average $600 - $800 USD,1 stars,Silky Terrier,3 stars,No,3-5 puppies,3 stars,3 stars,4 stars,1 stars,Small,4 stars,3 stars,2 stars,3 stars,"Sydney Silky, Australian Silky Terrier",4 stars,4 stars,Purebred,3 stars,12-14 years,5 stars,4 stars
Average $300 - $500 USD,1 stars,Rat Terrier,3 stars,No,5-7 puppies,4 stars,3 stars,1 stars,3 stars,Small,5 stars,3 stars,4 stars,4 stars,"American Rat Terrier, Ratting Terrier, Decker Giant, RT, Rat, Rattie",2 stars,5 stars,Purebred,5 stars,15-18 years,5 stars,3 stars
Average $1400 - $2000 USD,4 stars,Norwich Terrier,2 stars,Yes,1-3 puppies,4 stars,4 stars,3 stars,1 stars,Small,4 stars,3 stars,5 stars,3 stars,None,4 stars,4 stars,Purebred,5 stars,12-15 years,4 stars,4 stars
Average $800 - $1000 USD,3 stars,Gordon Setter,3 stars,No,6-8 puppies,3 stars,5 stars,4 stars,3 stars,Large,5 stars,4 stars,2 stars,3 stars,Gordon Castle Setters,4 stars,4 stars,Purebred,5 stars,10-12 years,1 stars,5 stars
Average $700 - $1000 USD,5 stars,Jack Russell Terrier,3 stars,No,4-8 puppies,2 stars,5 stars,2 stars,5 stars,Small,4 stars,3 stars,2 stars,3 stars,"Russell Terrier, JRT, Jack",2 stars,2 stars,Purebred,5 stars,13-16 years,1 stars,4 stars
Average $400 - $600 USD,5 stars,Parson Russell Terrier,3 stars,No,4-8 puppies,1 stars,5 stars,3 stars,1 stars,Medium,4 stars,3 stars,1 stars,3 stars,"Jack Russell Terrier, Parson, Parson Jack Russell Terrier",2 stars,4 stars,Purebred,5 stars,13-15 years,1 stars,5 stars
Average $1500 - $2000 USD,2 stars,Spinone Italiano,3 stars,No,4-8 puppies,3 stars,4 stars,2 stars,1 stars,Medium,5 stars,3 stars,5 stars,5 stars,"Italian Spinone, Spinone, Italian Griffon, Italian Wire-Haired Pointer, Italian Coarsehaired Pointer",2 stars,4 stars,Purebred,3 stars,12-14 years,3 stars,3 stars
Average $400 - $600 USD,2 stars,Toy Fox Terrier,3 stars,No,2-6 puppies,5 stars,3 stars,1 stars,3 stars,Small,2 stars,3 stars,3 stars,3 stars,"American Toy Terrier, Amertoy",2 stars,2 stars,Purebred,5 stars,13-14 years,5 stars,5 stars
Average $600 - $1000 USD,1 stars,Schipperke,3 stars,No,3-7 puppies,4 stars,5 stars,2 stars,3 stars,Small,4 stars,3 stars,3 stars,2 stars,"Spitzke, Spits, Spitske",5 stars,5 stars,Purebred,5 stars,13-15 years,2 stars,5 stars
Average $800 - $1000 USD,2 stars,Boykin Spaniel,3 stars,No,5-7 puppies,3 stars,5 stars,3 stars,3 stars,Medium,4 stars,3 stars,3 stars,3 stars,"Boykin, Swamp Poodle, LBD (Little Brown Dog)",2 stars,5 stars,Purebred,5 stars,14-16 years,5 stars,3 stars
Average $800 - $1200 USD,5 stars,Welsh Terrier,2 stars,Yes,4-6 puppies,1 stars,4 stars,5 stars,1 stars,Small,4 stars,3 stars,2 stars,3 stars,"Welshie, WT",3 stars,4 stars,Purebred,5 stars,10-14 years,4 stars,4 stars
Average $1200 - $1400 USD,5 stars,Belgian Sheepdog,3 stars,No,6-10 puppies,5 stars,5 stars,3 stars,4 stars,Large,4 stars,5 stars,3 stars,3 stars,"Groenendael, Chien De Berger Belge",5 stars,4 stars,Purebred,5 stars,12-14 years,1 stars,5 stars
Average $400 - $500 USD,3 stars,Pointer,1 stars,No,4-6 puppies,1 stars,4 stars,1 stars,1 stars,Medium,5 stars,4 stars,5 stars,2 stars,English Pointer,2 stars,4 stars,Purebred,5 stars,12-15 years,1 stars,5 stars
Average $1800 - $2500 USD,2 stars,Black Russian Terrier,2 stars,No,6-12 puppies,3 stars,4 stars,3 stars,1 stars,Large,3 stars,5 stars,3 stars,1 stars,"Chornyi, Terrier Noir Russem, Schwarzer Russicher Terrier, Tchiorny Terrier, Mustaterrieri, Black Terrier, Russian Bear Schnauzer, BRT, Stalin's Dog",2 stars,4 stars,Purebred,3 stars,10-11 years,3 stars,3 stars
Average $800 - $1000 USD,2 stars,Tibetan Spaniel,2 stars,No,3-6 puppies,5 stars,2 stars,3 stars,1 stars,Small,4 stars,4 stars,5 stars,2 stars,"Tibbie, Simkhyi",4 stars,4 stars,Purebred,5 stars,12-15 years,5 stars,3 stars
Average $1500 - $2000 USD,2 stars,Neapolitan Mastiff,5 stars,No,6-12 puppies,3 stars,2 stars,2 stars,3 stars,Large,3 stars,5 stars,1 stars,1 stars,"Neo, Italian Bulldog, Italian Mastiff, Mastino Napoletano, Italian Molosso, Can'E Presa",2 stars,4 stars,Purebred,2 stars,8-10 years,2 stars,2 stars
Average $1200 - $1400 USD,4 stars,Bearded Collie,3 stars,No,4-12 puppies,4 stars,3 stars,5 stars,4 stars,Medium,4 stars,4 stars,4 stars,4 stars,"Highland Collie, Mountain Collie, Argle Bargle, Hairy Mou'ed Collie, Beardie",4 stars,4 stars,Purebred,5 stars,12-14 years,3 stars,5 stars
Average $600 - $800 USD,3 stars,Irish Terrier,3 stars,Yes,4-6 puppies,2 stars,4 stars,4 stars,1 stars,Medium,4 stars,5 stars,2 stars,2 stars,"Irish Red Terrier, Daredevil",4 stars,4 stars,Purebred,5 stars,12-15 years,3 stars,4 stars
Average $600 - $800 USD,5 stars,American Eskimo Dog,3 stars,No,4-6 puppies,3 stars,4 stars,3 stars,5 stars,Small,4 stars,3 stars,4 stars,2 stars,"Eskimo Spitz, American Spitz, German Spitz, Eskie",2 stars,2 stars,Purebred,5 stars,12-14 years,3 stars,4 stars
Average $400 - $600 USD,4 stars,Treeing Walker Coonhound,1 stars,No,4-6 puppies,1 stars,5 stars,1 stars,3 stars,Medium,4 stars,3 stars,3 stars,3 stars,"TWC, Walker",2 stars,4 stars,Purebred,3 stars,12-13 years,3 stars,4 stars
Average $500 - $600 USD,5 stars,Bluetick Coonhound,1 stars,No,6-8 puppies,3 stars,5 stars,1 stars,3 stars,Large,4 stars,1 stars,5 stars,3 stars,None,2 stars,4 stars,Purebred,5 stars,11-12 years,1 stars,3 stars
Average $500 - $600 USD,4 stars,Kerry Blue Terrier,3 stars,Yes,4-8 puppies,2 stars,4 stars,5 stars,1 stars,Medium,4 stars,5 stars,2 stars,3 stars,"Kerry, Irish Blue Terrier",4 stars,4 stars,Purebred,5 stars,12-15 years,5 stars,4 stars
Average $700 - $1000 USD,3 stars,Smooth Fox Terrier,3 stars,No,3-6 puppies,1 stars,5 stars,2 stars,3 stars,Small,5 stars,3 stars,2 stars,2 stars,"Fox Terrier, Foxie, SFT",4 stars,4 stars,Purebred,5 stars,12-14 years,3 stars,5 stars
Average $1000 - $1200 USD,3 stars,Briard,3 stars,No,8-10 puppies,3 stars,5 stars,5 stars,3 stars,Large,4 stars,5 stars,3 stars,2 stars,"Berger De Brie, Berger Briard",5 stars,4 stars,Purebred,4 stars,10-12 years,4 stars,3 stars
Average $1200 - $2000 USD,2 stars,Miniature Bull Terrier,3 stars,Yes,1-9 puppies,1 stars,4 stars,1 stars,1 stars,Small,4 stars,3 stars,2 stars,3 stars,Bull Terrier (Miniature),2 stars,5 stars,Purebred,4 stars,10-12 years,3 stars,5 stars
Average $1000 - $1800 USD,4 stars,English Toy Spaniel,2 stars,No,2-4 puppies,3 stars,1 stars,3 stars,3 stars,Small,3 stars,4 stars,4 stars,2 stars,"King Charles Spaniel, Toy Spaniel, Prince Charles Spaniel, Ruby Spaniel, Blenheim Spaniel, Charlies",2 stars,3 stars,Purebred,5 stars,10-12 years,5 stars,3 stars
Average $1200 - $1400 USD,3 stars,Welsh Springer Spaniel,3 stars,No,6-8 puppies,3 stars,4 stars,3 stars,3 stars,Medium,5 stars,4 stars,5 stars,2 stars,"Welsh Springer, Welsh Cocker Spaniel, Welsh Starter, Welshie",4 stars,4 stars,Purebred,5 stars,12-15 years,1 stars,4 stars
Average $300 - $400 USD,5 stars,Black and Tan Coonhound,3 stars,No,6-8 puppies,5 stars,5 stars,1 stars,5 stars,Large,5 stars,3 stars,5 stars,2 stars,American Black And Tan Coonhound,4 stars,4 stars,Purebred,5 stars,10-12 years,1 stars,3 stars
Average $1500 - $2000 USD,2 stars,Boerboel,3 stars,No,7-10 puppies,2 stars,4 stars,1 stars,3 stars,Large,4 stars,5 stars,2 stars,2 stars,"South African Boerboel, South African Mastiff",2 stars,5 stars,Purebred,3 stars,10-12 years,2 stars,3 stars
Average $800 - $1200 USD,3 stars,Affenpinscher,3 stars,Yes,1-3 puppies,3 stars,3 stars,5 stars,1 stars,Small,1 stars,5 stars,3 stars,3 stars,"Affen, Affie, Monkey Dog",4 stars,4 stars,Purebred,5 stars,12-14 years,5 stars,4 stars
Average $600 - $800 USD,3 stars,Australian Terrier,4 stars,Yes,4 puppies,1 stars,4 stars,3 stars,1 stars,small,4 stars,3 stars,1 stars,3 stars,Aussie,4 stars,4 stars,Purebred,5 stars,12-15 years,3 stars,4 stars
Average $600 - $800 USD,1 stars,Xoloitzcuintli,1 stars,Yes,3-7 puppies,5 stars,3 stars,2 stars,1 stars,Medium,4 stars,3 stars,5 stars,2 stars,"Mexican Hairless, Xoloitzcuintli, Xoloitzcuintle, Xoloitzquintle, Xoloescuincle, Xolo, Xolito",2 stars,4 stars,Purebred,5 stars,14-20 years,5 stars,3 stars
Average $800 - $1200 USD,1 stars,Clumber Spaniel,3 stars,No,2-8 puppies,3 stars,4 stars,3 stars,5 stars,Large,4 stars,3 stars,5 stars,2 stars,Retired Gentleman's Spaniel,4 stars,4 stars,Purebred,5 stars,10-12 years,3 stars,3 stars
Average $2500 - $3500 USD,5 stars,Tibetan Mastiff,2 stars,No,5-12 puppies,3 stars,3 stars,3 stars,3 stars,Large,4 stars,3 stars,2 stars,1 stars,Dok-Khyi,2 stars,4 stars,Purebred,3 stars,10-14 years,1 stars,3 stars
Average $800 - $1000 USD,5 stars,Icelandic Sheepdog,2 stars,No,4-8 puppies,3 stars,3 stars,3 stars,3 stars,Medium,5 stars,3 stars,3 stars,4 stars,"Icelandic Spitz, Iceland Dog, Íslenskur Fjárhundur, Islandsk Farehond, Friaar Dog, Canis Islandicus",2 stars,4 stars,Purebred,5 stars,12-15 years,2 stars,4 stars
Average $600 - $800 USD,5 stars,Redbone Coonhound,1 stars,No,6-10 puppies,2 stars,5 stars,1 stars,1 stars,Medium,5 stars,1 stars,5 stars,4 stars,"Redbone Hound, Reds",2 stars,4 stars,Purebred,5 stars,12-14 years,1 stars,4 stars
Average $600 - $800 USD,2 stars,Saluki,3 stars,No,4-8 puppies,2 stars,3 stars,1 stars,1 stars,Large,4 stars,3 stars,3 stars,3 stars,"Gazelle Hound, Persian Greyhound",4 stars,3 stars,Purebred,5 stars,12-14 years,5 stars,3 stars
Average $1400 - $1600 USD,3 stars,German Pinscher,2 stars,No,6-8 puppies,3 stars,4 stars,1 stars,1 stars,Medium,4 stars,3 stars,3 stars,3 stars,"Standard Pinscher, Glatthaariger Pinscher",2 stars,4 stars,Purebred,3 stars,12-15 years,3 stars,4 stars
Average $2000 - $2500 USD,3 stars,Norfolk Terrier,3 stars,Yes,2-5 puppies,4 stars,4 stars,3 stars,1 stars,Small,4 stars,3 stars,4 stars,2 stars,None,4 stars,2 stars,Purebred,5 stars,12-15 years,4 stars,4 stars
Average $800 - $1000 USD,1 stars,Irish Water Spaniel,4 stars,Yes,4-12 puppies,2 stars,5 stars,4 stars,1 stars,Medium,5 stars,4 stars,2 stars,2 stars,"Whiptail, Shannon Spaniel, Rat Tail Spaniel, Bog Dog",1 stars,5 stars,Purebred,4 stars,10-12 years,2 stars,4 stars
Average $1200 - $1500 USD,3 stars,Beauceron,2 stars,No,6-7 puppies,2 stars,4 stars,2 stars,3 stars,Large,4 stars,3 stars,2 stars,2 stars,"Berger De Beauce, Bas-Rouge, French Shorthaired Shepherd, Beauce Shepherd",2 stars,2 stars,Purebred,3 stars,10-12 years,2 stars,4 stars
Average $1200 - $1600 USD,5 stars,Petit Basset Griffon Vendeen,4 stars,No,4-5 puppies,3 stars,4 stars,2 stars,3 stars,Medium,4 stars,3 stars,5 stars,4 stars,PBGV,3 stars,2 stars,Purebred,3 stars,11-14 years,4 stars,4 stars
Average $1200 - $18000 USD,3 stars,Lakeland Terrier,2 stars,Yes,3-5 puppies,1 stars,4 stars,5 stars,3 stars,Small,4 stars,3 stars,1 stars,4 stars,None,3 stars,2 stars,Purebred,3 stars,12-16 years,4 stars,4 stars
Average $1200 - $1500 USD,3 stars,Kuvasz,4 stars,No,6-8 puppies,3 stars,3 stars,3 stars,4 stars,Giant,4 stars,5 stars,3 stars,2 stars,Hungarian Kuvasz,4 stars,4 stars,Purebred,3 stars,10-12 years,1 stars,4 stars
Average $300 - $500 USD,3 stars,Plott Hound,1 stars,No,6-10 puppies,2 stars,5 stars,1 stars,1 stars,Medium,4 stars,3 stars,3 stars,2 stars,"Plotthund, Plott",2 stars,4 stars,Purebred,3 stars,12-14 years,1 stars,4 stars
Average $800 - $1000 USD,3 stars,Irish Red and White Setter,3 stars,No,6-12 puppies,3 stars,5 stars,3 stars,3 stars,Large,5 stars,3 stars,5 stars,4 stars,"Irish R&W Setter, IRWS",2 stars,4 stars,Purebred,5 stars,11-13 years,2 stars,4 stars
Average $500 - $800 USD,1 stars,Greyhound,3 stars,No,1-12 puppies,2 stars,2 stars,1 stars,3 stars,Giant,5 stars,3 stars,5 stars,5 stars,English Greyhound,4 stars,4 stars,Purebred,5 stars,10-13 years,5 stars,3 stars
Average $1800 - $2000 USD,2 stars,Bedlington Terrier,3 stars,Yes,3-6 puppies,3 stars,3 stars,5 stars,1 stars,Medium,4 stars,3 stars,4 stars,4 stars,"Rothbury Terrier, Rodbery Terrier",4 stars,4 stars,Purebred,4 stars,14-16 years,4 stars,3 stars
Average $800 - $1000 USD,2 stars,Field Spaniel,3 stars,No,4-6 puppies,3 stars,5 stars,2 stars,3 stars,Medium,5 stars,3 stars,5 stars,3 stars,Field,4 stars,4 stars,Purebred,5 stars,10-12 years,5 stars,5 stars
Average $800 - $1200 USD,3 stars,Ibizan Hound,3 stars,No,6-12 puppies,2 stars,4 stars,3 stars,3 stars,Large,4 stars,3 stars,3 stars,2 stars,"Ca Eivissenc, Podenco Ibicenco, Ibizan Warren Hound",4 stars,4 stars,Purebred,4 stars,12-14 years,1 stars,3 stars
Average $1000 - $1200 USD,4 stars,Puli,3 stars,Yes,4-6 puppies,3 stars,4 stars,5 stars,1 stars,Medium,4 stars,5 stars,3 stars,2 stars,"Hungarian Puli, Hungarian Water Dog, Pulik",5 stars,4 stars,Purebred,3 stars,12-16 years,4 stars,4 stars
Average $700 - $900 USD,4 stars,Swedish Vallhund,2 stars,No,4-8 puppies,5 stars,4 stars,3 stars,1 stars,Medium,5 stars,3 stars,3 stars,5 stars,Västgötaspets,2 stars,4 stars,Purebred,5 stars,12-14 years,3 stars,3 stars
Average $800 - $1000 USD,1 stars,Wirehaired Vizsla,3 stars,No,6-10 puppies,3 stars,4 stars,2 stars,1 stars,Medium,4 stars,4 stars,4 stars,4 stars,"Drótszőrű magyar vizsla, Hungarian Wirehaired Vizsla",2 stars,5 stars,Purebred,5 stars,12-14 years,2 stars,4 stars
Average $1000 - $1200 USD,3 stars,Entlebucher Mountain Dog,3 stars,No,7-8 puppies,3 stars,5 stars,1 stars,3 stars,Medium,4 stars,5 stars,3 stars,2 stars,"Entlebucher Sennenhund, Entelbucher Cattle Dog, Entlebucher",2 stars,2 stars,Purebred,3 stars,11-15 years,2 stars,3 stars
Average $800 - $1000 USD,1 stars,Sealyham Terrier,2 stars,Yes,3-6 puppies,3 stars,3 stars,3 stars,1 stars,Small,4 stars,3 stars,4 stars,3 stars,"Welsh Border Terrier, Cowley Terrier",4 stars,2 stars,Purebred,5 stars,14-16 years,5 stars,3 stars
Average $800 - $1000 USD,4 stars,American Water Spaniel,3 stars,No,4-6 puppies,3 stars,5 stars,3 stars,1 stars,Medium,5 stars,4 stars,2 stars,5 stars,"AWS, American Brown Spaniel, American Brown Water Spaniel",4 stars,4 stars,Purebred,5 stars,10-12 years,5 stars,5 stars
Average $800 - $1000 USD,2 stars,Portuguese Podengo Pequeno,1 stars,No,4-6 puppies,2 stars,3 stars,1 stars,3 stars,Small,4 stars,3 stars,4 stars,3 stars,"Podengo Portugues, Portuguese Warren Hound",2 stars,3 stars,Purebred,3 stars,12-14 years,5 stars,3 stars
Average $1000 - $1200 USD,1 stars,Scottish Deerhound,5 stars,No,4-8 puppies,2 stars,3 stars,2 stars,3 stars,Giant,5 stars,1 stars,5 stars,5 stars,Deerhound,4 stars,4 stars,Purebred,3 stars,8-10 years,4 stars,3 stars
Average $800 - $1000 USD,5 stars,Norwegian Buhund,2 stars,No,4-8 puppies,5 stars,5 stars,1 stars,3 stars,Medium,5 stars,4 stars,3 stars,3 stars,"Norsk Buhund, Norwegian Sheepdog",2 stars,4 stars,Purebred,5 stars,13-15 years,2 stars,4 stars
Average $800 - $1200 USD,4 stars,Komondor,3 stars,No,3-10 puppies,4 stars,3 stars,3 stars,1 stars,Large,2 stars,5 stars,2 stars,1 stars,"Hungarian Sheepdog, Hungarian Komondor, Mop Dog",2 stars,4 stars,Purebred,3 stars,10-12 years,2 stars,3 stars
Average $1500 - $2000 USD,2 stars,Polish Lowland Sheepdog,2 stars,Yes,2-6 puppies,3 stars,3 stars,4 stars,1 stars,Medium,4 stars,5 stars,2 stars,2 stars,"Polski Owczarek Nizinny (Polish), Valee Sheepdog, PON, Nizinny, PLS",2 stars,1 stars,Purebred,3 stars,10-12 years,3 stars,4 stars
Average $800 - $1000 USD,2 stars,Cirneco dell’Etna,1 stars,No,3-5 puppies,3 stars,4 stars,2 stars,1 stars,Medium,4 stars,3 stars,5 stars,3 stars,Cirneco,2 stars,4 stars,Purebred,5 stars,12-15 years,5 stars,3 stars
Average $600 - $1000 USD,3 stars,Manchester Terrier,2 stars,No,2-4 puppies,3 stars,4 stars,1 stars,1 stars,Small,3 stars,3 stars,3 stars,3 stars,None,4 stars,4 stars,Purebred,5 stars,14-16 years,5 stars,4 stars
Average $600 - $800 USD,3 stars,Curly-Coated Retriever,2 stars,No,6-8 puppies,3 stars,3 stars,2 stars,3 stars,Large,4 stars,3 stars,5 stars,3 stars,"Curly, CCR",4 stars,4 stars,Purebred,5 stars,8-12 years,3 stars,3 stars
Average $300 - $500 USD,5 stars,Lowchen,2 stars,Yes,3-6 puppies,5 stars,3 stars,5 stars,1 stars,Small,4 stars,3 stars,3 stars,5 stars,"Petit Chien Lion, Little Lion Dog",2 stars,4 stars,Purebred,5 stars,12-15 years,5 stars,3 stars
Average $800 - $1000 USD,1 stars,Glen of Imaal Terrier,3 stars,No,3-5 puppies,1 stars,4 stars,2 stars,1 stars,Medium,4 stars,3 stars,2 stars,2 stars,"Glen, Glennie, Irish Glen Of Imaal Terrier",2 stars,4 stars,Purebred,5 stars,12-14 years,5 stars,4 stars
Average $500 - $600 USD,2 stars,Otterhound,2 stars,No,4-7 puppies,3 stars,5 stars,4 stars,4 stars,Large,4 stars,2 stars,3 stars,2 stars,None,4 stars,4 stars,Purebred,3 stars,10-12 years,1 stars,5 stars
Average $300 - $500 USD,3 stars,Cesky Terrier,3 stars,Yes,2-4 puppies,3 stars,3 stars,5 stars,1 stars,Small,4 stars,4 stars,1 stars,2 stars,Bohemian Terrier,2 stars,1 stars,Cross Breed,3 stars,12-15 years,3 stars,3 stars
Average $800 - $1000 USD,3 stars,Chinook,3 stars,No,3-6 puppies,3 stars,5 stars,3 stars,3 stars,Large,5 stars,4 stars,3 stars,3 stars,None,2 stars,4 stars,Purebred,5 stars,12-15 years,3 stars,4 stars
Average $500 - $700 USD,3 stars,Finnish Spitz,4 stars,No,3-6 puppies,4 stars,5 stars,3 stars,3 stars,Medium,4 stars,3 stars,3 stars,3 stars,"Barking Bird Dog, Finnish Hunting Dog, Finnish Spets, Finsk Spets, Loulou Finois, Suomalainen Pystykorva, Suomenpystykorva",4 stars,4 stars,Purebred,3 stars,12-15 years,1 stars,4 stars
Average $500 - $800 USD,2 stars,Pyrenean Shepherd,2 stars,No,4 puppies,3 stars,5 stars,3 stars,3 stars,Medium,4 stars,4 stars,2 stars,2 stars,"Berger Des Pyrénées, Petit Berger, Pyrenees Sheepdog, Pyr Shep",2 stars,4 stars,Purebred,2 stars,15-17 years,4 stars,4 stars
Average $1000 - $1200 USD,2 stars,Bergamasco,2 stars,Yes,6-10 puppies,3 stars,4 stars,2 stars,1 stars,Large,5 stars,3 stars,3 stars,2 stars,"Bergamasco Shepherd Dog, Bergermaschi",2 stars,2 stars,Purebred,5 stars,13-15 years,3 stars,3 stars
Average $700 - $900 USD,2 stars,Skye Terrier,4 stars,No,4-6 puppies,2 stars,3 stars,3 stars,1 stars,Medium,3 stars,5 stars,2 stars,2 stars,None,4 stars,2 stars,Purebred,5 stars,12-14 years,5 stars,3 stars
Average $1400 - $1600 USD,2 stars,Dandie Dinmont Terrier,2 stars,Yes,3-6 puppies,3 stars,3 stars,3 stars,1 stars,Small,4 stars,3 stars,4 stars,3 stars,"Dandie, Hindlee Terrier",3 stars,2 stars,Purebred,5 stars,12-14 years,5 stars,3 stars
Average $1800 - $2000 USD,2 stars,Pharaoh Hound,1 stars,No,6-8 puppies,2 stars,3 stars,1 stars,1 stars,Medium,4 stars,3 stars,4 stars,4 stars,"Kelb Tal-Fenek (in Country Of Origin), Pharaoh",4 stars,4 stars,Purebred,5 stars,11-14 years,3 stars,3 stars
Average $500 - $700 USD,5 stars,Sussex Spaniel,3 stars,No,5-6 puppies,3 stars,4 stars,3 stars,3 stars,Medium,5 stars,3 stars,5 stars,3 stars,Sussex,2 stars,4 stars,Purebred,5 stars,12-15 years,3 stars,3 stars
Average $800 - $1200 USD,3 stars,Canaan Dog,3 stars,No,4-6 puppies,2 stars,3 stars,1 stars,3 stars,Medium,5 stars,3 stars,2 stars,3 stars,"Kalef K'Naani, Canaanite Dog",2 stars,1 stars,Purebred,5 stars,12-14 years,5 stars,3 stars
Average $600 - $800 USD,5 stars,Finnish Lapphund,2 stars,No,2-9 puppies,3 stars,5 stars,5 stars,5 stars,Medium,5 stars,4 stars,5 stars,2 stars,"Lapinkoira, Suomenlapinkoira",2 stars,5 stars,Purebred,5 stars,12-15 years,2 stars,4 stars
Average $1000 - $1200 USD,3 stars,Spanish Water Dog,3 stars,Yes,4-6 puppies,2 stars,4 stars,5 stars,1 stars,Medium,2 stars,4 stars,3 stars,2 stars,"Perro De Agua Español, SWD",2 stars,4 stars,Purebred,4 stars,10-14 years,2 stars,4 stars
Average $300 - $400 USD,2 stars,Harrier,1 stars,No,5-7 puppies,2 stars,5 stars,1 stars,3 stars,Medium,5 stars,2 stars,5 stars,4 stars,None,2 stars,4 stars,Purebred,3 stars,10-12 years,1 stars,3 stars
Average $1000 - $1200 USD,2 stars,American English Coonhound,3 stars,No,4-6 puppies,3 stars,4 stars,1 stars,3 stars,Large,4 stars,4 stars,2 stars,2 stars,"English Coonhound, Redtick Coonhound",2 stars,4 stars,Purebred,4 stars,11-12 years,2 stars,4 stars
Average $400 - $500 USD,4 stars,Griffon bleu de Gascogne,2 stars,No, ,3 stars,4 stars,2 stars,0 stars,Medium,4 stars,4 stars,3 stars,4 stars,None,2 stars,0 stars,Cross Breed,4 stars,12-15 years,2 stars,3 stars
Average $400 - $600 USD,2 stars,American Foxhound,1 stars,No,5-7 puppies,2 stars,5 stars,1 stars,1 stars,Large,4 stars,2 stars,4 stars,3 stars,Foxhound,4 stars,4 stars,Purebred,5 stars,10-12 years,1 stars,5 stars
Average $400 - $500 USD,3 stars,Hamilton Hound,3 stars,No,4-8 puppies,3 stars,3 stars,1 stars,1 stars,Medium,4 stars,3 stars,4 stars,3 stars,"Hamiltonstovare, Swedish Foxhound",3 stars,3 stars,Purebred,4 stars,11-13 years,4 stars,3 stars
Average $400 - $500 USD,3 stars,Large Munsterlander,2 stars,No,5-9 puppies,3 stars,5 stars,3 stars,3 stars,Large,5 stars,3 stars,5 stars,3 stars,"Grosser Munsterlander Vorstehhund, Vorstehhund",3 stars,5 stars,Purebred,5 stars,11-13 years,1 stars,5 stars
 ,,Kromfohrlander,,No,, ,, , ,Medium , , , ,, , , ,Purebred, , ,,
